Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos_total
2016,3,San Luis,9.63,38.46
2016,3,Santa Cruz,26.84,107.49000000000001
2016,3,Santa Fe,52.67,208.57999999999998
2016,3,Santiago Del Estero,15.33,62.5
2016,3,Tierra Del Fuego,68.94,272.8
2016,3,Tucumán,37.9,149.84
2016,2,Buenos Aires,59.34,238.06
2016,2,Capital Federal,120.04,476.6
2016,2,Catamarca,26.07,105.0
2016,2,Chaco,28.59,114.37
2016,2,Chubut,36.12,144.46
2016,2,Córdoba,57.55,228.77
2016,2,Corrientes,30.58,122.71
2016,2,Entre Ríos,44.74,179.24
2016,2,Formosa,19.37,76.9
2016,2,Jujuy,21.89,88.56
2016,2,La Pampa,60.44,243.03
2016,2,La Rioja,16.88,67.24
2016,2,Mendoza,32.13,128.45
2016,2,Misiones,29.24,117.24
2016,2,Neuquén,59.1,235.93
2016,2,Río Negro,46.24,184.86
2016,2,Salta,32.08,129.05
2016,2,San Juan,27.34,109.28
2016,2,San Luis,9.6,38.46
2016,2,Santa Cruz,26.73,107.49000000000001
2016,2,Santa Fe,52.44,208.57999999999998
2016,2,Santiago Del Estero,15.89,62.5
2016,2,Tierra Del Fuego,67.72,272.8
2016,2,Tucumán,37.24,149.84
2016,1,Buenos Aires,57.34,238.06
2016,1,Capital Federal,115.16,476.6
2016,1,Catamarca,25.91,105.0
2016,1,Chaco,28.08,114.37
2016,1,Chubut,36.09,144.46
2016,1,Córdoba,55.28,228.77
2016,1,Corrientes,30.08,122.71
2016,1,Entre Ríos,43.85,179.24
2016,1,Formosa,19.04,76.9
2016,1,Jujuy,21.41,88.56
2016,1,La Pampa,57.84,243.03
2016,1,La Rioja,16.83,67.24
2016,1,Mendoza,32.12,128.45
2016,1,Misiones,28.37,117.24
2016,1,Neuquén,55.75,235.93
2016,1,Río Negro,45.84,184.86
2016,1,Salta,31.32,129.05
2016,1,San Juan,27.33,109.28
2016,1,San Luis,9.59,38.46
2016,1,Santa Cruz,26.87,107.49000000000001
2016,1,Santa Fe,51.28,208.57999999999998
2016,1,Santiago Del Estero,16.21,62.5
2016,1,Tierra Del Fuego,65.83,272.8
2016,1,Tucumán,36.72,149.84
2015,4,Buenos Aires,58.29,229.14999999999998
2015,4,Capital Federal,118.13,467.39
2015,4,Catamarca,26.24,102.66
2015,4,Chaco,28.35,110.42
2015,4,Chubut,36.89,147.89
2015,4,Córdoba,57.36,225.01
2015,4,Corrientes,30.34,119.03999999999999
2015,4,Entre Ríos,44.11,172.79
2015,4,Formosa,19.07,74.39
2015,4,Jujuy,21.47,82.72
