Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total,Banda ancha fija (M),Dial up (M),Total (M)
2019,4,Santiago Del Estero,103587,1,103588,0.103587,1e-06,0.103588
2019,4,Tierra Del Fuego,40101,291,40392,0.040101,0.000291,0.040392
2019,4,Tucumán,198621,23,198644,0.198621,2.3e-05,0.198644
2019,3,Buenos Aires,3950114,10119,3960233,3.950114,0.010119,3.960233
2019,3,Capital Federal,1437734,3477,1441211,1.437734,0.003477,1.441211
2019,3,Catamarca,32391,9,32400,0.032391,9e-06,0.0324
2019,3,Chaco,114438,13,114451,0.114438,1.3e-05,0.114451
2019,3,Chubut,87481,1524,89005,0.087481,0.001524,0.089005
2019,3,Córdoba,782946,107,783053,0.782946,0.000107,0.783053
2019,3,Corrientes,112749,10,112759,0.112749,1e-05,0.112759
2019,3,Entre Ríos,238057,45,238102,0.238057,4.5e-05,0.238102
2019,3,Formosa,46066,0,46066,0.046066,0.0,0.046066
2019,3,Jujuy,86575,1,86576,0.086575,1e-06,0.086576
2019,3,La Pampa,90559,269,90828,0.090559,0.000269,0.090828
2019,3,La Rioja,49659,18,49677,0.049659,1.8e-05,0.049677
2019,3,Mendoza,223015,1322,224337,0.223015,0.001322,0.224337
2019,3,Misiones,133883,0,133883,0.133883,0.0,0.133883
2019,3,Neuquén,123435,1986,125421,0.123435,0.001986,0.125421
2019,3,Río Negro,143391,904,144295,0.143391,0.000904,0.144295
2019,3,Salta,151834,1,151835,0.151834,1e-06,0.151835
2019,3,San Juan,72535,563,73098,0.072535,0.000563,0.073098
2019,3,San Luis,122409,291,122700,0.122409,0.000291,0.1227
2019,3,Santa Cruz,37642,328,37970,0.037642,0.000328,0.03797
2019,3,Santa Fe,760706,228,760934,0.760706,0.000228,0.760934
2019,3,Santiago Del Estero,133130,2,133132,0.13313,2e-06,0.133132
2019,3,Tierra Del Fuego,48043,544,48587,0.048043,0.000544,0.048587
2019,3,Tucumán,164099,32,164131,0.164099,3.2e-05,0.164131
2019,2,Buenos Aires,3845594,10104,3855698,3.845594,0.010104,3.855698
2019,2,Capital Federal,1412177,3443,1415620,1.412177,0.003443,1.41562
2019,2,Catamarca,33626,9,33635,0.033626,9e-06,0.033635
2019,2,Chaco,108721,13,108734,0.108721,1.3e-05,0.108734
2019,2,Chubut,86038,1518,87556,0.086038,0.001518,0.087556
2019,2,Córdoba,775023,105,775128,0.775023,0.000105,0.775128
2019,2,Corrientes,111539,10,111549,0.111539,1e-05,0.111549
2019,2,Entre Ríos,235780,44,235824,0.23578,4.4e-05,0.235824
2019,2,Formosa,46438,0,46438,0.046438,0.0,0.046438
2019,2,Jujuy,86706,1,86707,0.086706,1e-06,0.086707
2019,2,La Pampa,89937,268,90205,0.089937,0.000268,0.090205
2019,2,La Rioja,50283,18,50301,0.050283,1.8e-05,0.050301
2019,2,Mendoza,222535,1322,223857,0.222535,0.001322,0.223857
2019,2,Misiones,132878,0,132878,0.132878,0.0,0.132878
2019,2,Neuquén,120954,1999,122953,0.120954,0.001999,0.122953
2019,2,Río Negro,137632,915,138547,0.137632,0.000915,0.138547
2019,2,Salta,142567,1,142568,0.142567,1e-06,0.142568
2019,2,San Juan,69461,564,70025,0.069461,0.000564,0.070025
2019,2,San Luis,117094,291,117385,0.117094,0.000291,0.117385
2019,2,Santa Cruz,30225,325,30550,0.030225,0.000325,0.03055
2019,2,Santa Fe,743258,226,743484,0.743258,0.000226,0.743484
2019,2,Santiago Del Estero,126752,2,126754,0.126752,2e-06,0.126754
2019,2,Tierra Del Fuego,46910,544,47454,0.04691,0.000544,0.047454
2019,2,Tucumán,166299,32,166331,0.166299,3.2e-05,0.166331
2019,1,Buenos Aires,3736563,10104,3746667,3.736563,0.010104,3.746667
2019,1,Capital Federal,1396157,3443,1399600,1.396157,0.003443,1.3996
2019,1,Catamarca,33613,9,33622,0.033613,9e-06,0.033622
2019,1,Chaco,103664,13,103677,0.103664,1.3e-05,0.103677
2019,1,Chubut,78260,1518,79778,0.07826,0.001518,0.079778
2019,1,Córdoba,744010,105,744115,0.74401,0.000105,0.744115
2019,1,Corrientes,102477,10,102487,0.102477,1e-05,0.102487
2019,1,Entre Ríos,232403,44,232447,0.232403,4.4e-05,0.232447
2019,1,Formosa,45211,0,45211,0.045211,0.0,0.045211
2019,1,Jujuy,90146,1,90147,0.090146,1e-06,0.090147
2019,1,La Pampa,88892,268,89160,0.088892,0.000268,0.08916
2019,1,La Rioja,51638,18,51656,0.051638,1.8e-05,0.051656
2019,1,Mendoza,204976,1322,206298,0.204976,0.001322,0.206298
2019,1,Misiones,122720,0,122720,0.12272,0.0,0.12272
2019,1,Neuquén,112321,2056,114377,0.112321,0.002056,0.114377
2019,1,Río Negro,120173,915,121088,0.120173,0.000915,0.121088
2019,1,Salta,136019,1,136020,0.136019,1e-06,0.13602
2019,1,San Juan,61881,564,62445,0.061881,0.000564,0.062445
2019,1,San Luis,96044,291,96335,0.096044,0.000291,0.096335
2019,1,Santa Cruz,24580,325,24905,0.02458,0.000325,0.024905
2019,1,Santa Fe,736851,227,737078,0.736851,0.000227,0.737078
2019,1,Santiago Del Estero,89851,2,89853,0.089851,2e-06,0.089853
2019,1,Tierra Del Fuego,45903,544,46447,0.045903,0.000544,0.046447
2019,1,Tucumán,171970,32,172002,0.17197,3.2e-05,0.172002
2018,4,Buenos Aires,3626502,10104,3636606,3.626502,0.010104,3.636606
2018,4,Capital Federal,1385577,3443,1389020,1.385577,0.003443,1.38902
2018,4,Catamarca,33574,9,33583,0.033574,9e-06,0.033583
2018,4,Chaco,103257,13,103270,0.103257,1.3e-05,0.10327
2018,4,Chubut,77204,1518,78722,0.077204,0.001518,0.078722
2018,4,Córdoba,737234,105,737339,0.737234,0.000105,0.737339
2018,4,Corrientes,100591,10,100601,0.100591,1e-05,0.100601
2018,4,Entre Ríos,222003,44,222047,0.222003,4.4e-05,0.222047
2018,4,Formosa,45204,0,45204,0.045204,0.0,0.045204
2018,4,Jujuy,90132,1,90133,0.090132,1e-06,0.090133
2018,4,La Pampa,85368,268,85636,0.085368,0.000268,0.085636
2018,4,La Rioja,51633,18,51651,0.051633,1.8e-05,0.051651
2018,4,Mendoza,204982,1322,206304,0.204982,0.001322,0.206304
2018,4,Misiones,116273,0,116273,0.116273,0.0,0.116273
2018,4,Neuquén,112309,2056,114365,0.112309,0.002056,0.114365
2018,4,Río Negro,115922,915,116837,0.115922,0.000915,0.116837
2018,4,Salta,134577,1,134578,0.134577,1e-06,0.134578
2018,4,San Juan,61834,564,62398,0.061834,0.000564,0.062398
2018,4,San Luis,96040,291,96331,0.09604,0.000291,0.096331
2018,4,Santa Cruz,24443,325,24768,0.024443,0.000325,0.024768
2018,4,Santa Fe,720161,229,720390,0.720161,0.000229,0.72039
2018,4,Santiago Del Estero,89333,2,89335,0.089333,2e-06,0.089335
2018,4,Tierra Del Fuego,45716,544,46260,0.045716,0.000544,0.04626
2018,4,Tucumán,171972,32,172004,0.171972,3.2e-05,0.172004
2018,3,Buenos Aires,3599714,10563,3610277,3.599714,0.010563,3.610277
2018,3,Capital Federal,1385804,6686,1392490,1.385804,0.006686,1.39249
2018,3,Catamarca,34215,11,34226,0.034215,1.1e-05,0.034226
2018,3,Chaco,102021,12,102033,0.102021,1.2e-05,0.102033
2018,3,Chubut,101310,2426,103736,0.10131,0.002426,0.103736
2018,3,Córdoba,725764,94,725858,0.725764,9.4e-05,0.725858
2018,3,Corrientes,99445,11,99456,0.099445,1.1e-05,0.099456
2018,3,Entre Ríos,204560,48,204608,0.20456,4.8e-05,0.204608
2018,3,Formosa,44865,0,44865,0.044865,0.0,0.044865
